,Class
AT_Kar_See_1_2014-08-17,9
AT_Kar_See_1_2016-08-01,9
AT_Nie_Mau_1_2014-07-20,7
AT_Nie_Mau_1_2014-10-19,7
AT_Nie_Mau_1_2015-07-20,7
AT_Nie_Mau_1_2015-10-19,7
AT_Wie_Gro_1_2012-08-03,2
AT_Wie_Gro_1_2012-10-20,2
BY_Bre_Bre_1_2015-09-11,3
CH_Fri_Ors_1_2020-08-23,9
CH_Vau_Cha_1_2014-07-24,9
CH_Vau_Cha_1_2014-10-05,9
CH_Vau_Cha_1_2015-08-01,9
CH_Vau_Cha_1_2016-08-15,9
CH_Vau_Vul_1_2018-09-18,0
CH_Vau_Vul_1_2019-07-17,9
CH_Vau_Vul_1_2019-09-24,9
CH_Vau_Vul_1_2020-07-29,9
CH_Vau_Vul_1_2020-09-15,9
DE_Bad_Bro_1_2014-06-26,6
DE_Bad_Bro_1_2014-10-15,6
DE_Bad_Bro_1_2015-06-30,9
DE_Bad_Bro_1_2015-10-25,6
DE_Bad_Bro_1_2016-07-24,6
DE_Bad_Bro_1_2016-10-23,6
DE_Bad_Bro_1_2017-06-27,6
DE_Bad_Bro_1_2018-06-26,3
DE_Bad_Bro_1_2019-07-03,3
DE_Bad_Bro_1_2021-07-21,6
DE_Bad_Bro_1_2021-10-20,6
DE_Bad_Wal_1_2019-10-02,0
DE_Bad_Wal_1_2020-10-02,9
DE_Bay_Mun_1_2014-06-19,9
DE_Bay_Mun_1_2014-09-03,9
DE_Bay_Mun_1_2015-06-01,9
DE_Bay_Mun_1_2015-09-01,9
DE_Bay_Mun_1_2016-06-25,9
DE_Bay_Mun_1_2016-09-01,9
DE_Bay_Mun_1_2017-06-20,9
DE_Bay_Mun_1_2017-09-03,9
DE_Bay_Mun_1_2018-06-25,9
DE_Bay_Mun_1_2018-09-09,9
DE_Bay_Mun_1_2019-06-22,5
DE_Bay_Mun_1_2019-09-02,9
DE_Bay_Mun_1_2020-06-25,9
DE_Bay_Mun_1_2020-09-05,9
DE_Bay_Mun_1_2021-06-25,9
DE_Bay_Mun_1_2021-09-04,9
DE_Bay_Wue_1_2020-07-18,9
DE_Bay_Wue_1_2020-09-23,9
DE_Bay_Wue_1_2021-07-27,9
DE_Bay_Wue_1_2021-10-18,6
DE_Bra_Ber_2_2021-07-24,0
DK_Mid_Kar_1_2014-09-01,6
DK_Mid_Kar_1_2014-11-25,6
DK_Mid_Kar_1_2016-06-08,8
DK_Mid_Kar_1_2016-09-15,8
DK_Mid_Kar_1_2016-11-22,8
DK_Mid_Kar_1_2017-08-08,6
DK_Mid_Kar_1_2018-06-30,6
DK_Mid_Kar_1_2018-10-05,6
DK_Mid_Kar_1_2019-07-09,6
DK_Mid_Kar_1_2019-10-01,6
DK_Mid_Kar_1_2020-07-31,6
DK_Mid_Kar_1_2020-10-31,6
ES_Bal_Tom_1_2021-10-07,2
ES_Bar_Bar_1_2012-07-13,3
ES_Bar_Bar_1_2012-10-16,0
ES_Ciu_Man_1_2020-08-10,2
ES_Ciu_Tom_1_2015-09-17,2
ES_Ciu_Tom_1_2015-10-08,2
ES_Ciu_Tom_1_2016-09-02,2
ES_Ciu_Tom_1_2016-10-11,2
ES_Ciu_Tom_1_2017-10-04,2
ES_Ciu_Tom_1_2018-10-03,0
ES_Ciu_Tom_1_2020-09-30,2
ES_Gra_Ben_1_2016-10-08,2
ES_Gra_Ben_1_2017-10-05,2
ES_Gra_Cor_1_2015-08-08,2
ES_Gra_Cor_1_2017-07-28,2
ES_Gra_Gua_1_2015-09-12,2
ES_Gra_Pur_1_2016-08-30,2
ES_Ler_Gim_1_2014-08-13,2
ES_Ler_Gim_1_2014-10-20,2
ES_Ler_Gim_1_2015-06-28,2
ES_Ler_Gim_1_2015-10-22,2
ES_Ler_Gim_1_2016-08-25,2
ES_Ler_Gim_1_2016-10-21,2
ES_Ler_Gim_1_2017-07-24,2
ES_Ler_Gim_1_2017-10-14,2
ES_Ler_Gim_1_2018-08-25,2
ES_Ler_Gim_1_2018-10-26,2
ES_Ler_Gim_1_2019-08-25,2
ES_Ler_Gim_1_2020-10-26,2
ES_Ler_Pin_1_2018-10-10,0
ES_Mad_Yep_1_2018-11-06,2
ES_Tol_Vil_1_2018-10-07,0
FI_Cen_Jyv_1_2019-09-19,4
FI_Cen_Ves_1_2014-07-26,4
FI_Cen_Ves_1_2016-07-29,4
FI_Pir_Aka_1_2014-07-25,4
FI_Pir_Aka_1_2014-08-27,4
FI_Pir_Aka_1_2015-07-21,4
FI_Pir_Aka_1_2015-10-01,4
FI_Pir_Aka_1_2016-07-24,4
FI_Pir_Aka_1_2016-09-17,4
FI_Pir_Aka_1_2017-07-20,4
FI_Pir_Aka_1_2017-09-25,4
FI_Pir_Aka_1_2018-07-17,4
FI_Pir_Aka_1_2018-09-20,4
FI_Pir_Aka_1_2019-07-19,4
FI_Pir_Aka_1_2019-08-25,4
FI_Pir_Aka_1_2020-06-28,4
FI_Pir_Aka_1_2020-10-04,4
FI_Pir_Aka_1_2021-07-07,4
FI_Pir_Aka_1_2021-09-17,4
FR_Ain_Civ_1_2019-06-15,6
FR_Ain_Ver_1_2017-09-21,0
FR_Cot_Mar_1_2020-08-02,6
FR_Cot_Vie_1_2019-10-19,9
FR_Cot_Vie_1_2020-08-03,9
FR_Cot_Vie_1_2021-08-11,9
FR_Dro_Got_1_2014-07-08,6
FR_Dro_Got_1_2015-05-21,6
FR_Dro_Got_1_2015-09-09,6
FR_Dro_Got_1_2015-10-13,6
FR_Dro_Got_1_2016-06-13,6
FR_Ess_Vil_1_2014-08-18,6
FR_Ess_Vil_1_2014-10-27,6
FR_Ess_Vil_1_2015-08-10,6
FR_Ess_Vil_1_2015-10-14,6
FR_Ess_Vil_1_2016-08-12,6
FR_Ess_Vil_1_2017-08-24,6
FR_Ess_Vil_1_2017-10-17,6
FR_Eur_Sai_1_2018-09-15,6
FR_Hau_Civ_1_2018-06-16,6
FR_Her_Sai_1_2020-11-12,6
FR_Her_Sai_1_2021-06-10,6
FR_Ill_Sai_1_2017-07-22,6
FR_Ill_Sai_1_2017-09-16,6
FR_Rho_Lyo_1_2010-07-16,6
GB_Eas_Sus_1_2021-07-09,6
GB_Eas_Sus_1_2021-09-01,6
GB_Edi_Edi_1_2021-08-29,6
GB_Edi_Edi_1_2021-10-04,4
GB_Edi_Sou_1_2014-07-14,6
GB_Fif_Dai_1_2015-08-19,6
GB_Fif_Dai_1_2016-08-06,6
GB_Ken_Ken_1_2019-09-16,6
GB_Lei_Lut_1_2014-10-20,6
GB_Lei_Mar_1_2014-10-20,6
GB_Nor_Mar_1_2015-07-07,6
GB_Nor_Mar_1_2016-10-23,6
GB_Nor_Mar_1_2017-10-10,6
GB_Nor_Mar_2_2017-10-10,6
GB_Nor_Mar_3_2017-10-10,6
GB_Per_Dru_1_2020-09-07,6
GB_Per_Mut_1_2021-08-05,6
GB_She_She_1_2014-08-25,6
GB_She_She_1_2015-10-04,2
GR_Kri_Her_1_2020-07-13,0
GR_Kri_Ira_1_2018-10-11,0
GR_Kri_Ira_1_2021-10-20,0
HR_Dub_Her_1_2019-09-19,7
HR_Dub_Kam_1_2017-09-20,7
HU_Pes_Pil_1_2018-07-04,7
HU_Pes_Pil_1_2018-10-30,3
HU_Pes_Pil_1_2020-08-17,3
HU_Sze_Sze_1_2016-08-28,1
IT_Tre_San_1_2015-09-29,0
IT_Tre_San_1_2015-10-10,0
IT_Tre_San_1_2019-10-01,0
IT_Tre_San_1_2021-06-28,0
IT_Tre_San_1_2021-10-01,0
IT_Tre_Tre_1_2016-08-24,1
NL_Gro_Gro_1_2017-10-11,9
NL_Gro_Gro_1_2019-10-09,9
NL_Utr_Hou_1_1998-07-01,0
PL_Lub_Lub_1_2019-09-10,7
PL_Pom_Gda_1_2016-08-01,1
PL_War_Brz_1_2015-09-28,7
PL_War_Brz_1_2016-08-08,7
PL_War_Brz_1_2017-08-20,7
PT_Por_Rec_1_2014-09-26,6
