"","DATA.Chr","DATA.Pos","lat.pval","long.pval","min_month.pval","nFlies.pval"
"1","2L",6895,0.890202550063897,0.454061188191602,0.978668376160196,0.00411729313902906
"2","2L",8958,0.585330104952919,0.283496887961475,0.452258779400026,0.970835499871385
"3","2L",9686,0.292820340720324,0.0457284550539919,0.175193908466917,0.0640422573096467
"4","2L",22632,0.549442646245787,0.793796121549068,0.248066392180903,0.686544654576083
"5","2L",23454,0.549442646245787,0.793796121549068,0.248066392180903,0.686544654576083
"6","2L",30983,0.0805556436028421,0.0997207521410278,0.71524077784419,0.686544654576084
"7","2L",35574,0.00334173937693481,0.00791443853532638,0.61727645895811,0.579972682027503
"8","2L",44397,0.618215282555314,0.701502254904475,0.622859394112541,0.108016474887004
"9","2L",46105,0.150470583659761,0.254554288304764,0.966871621013175,0.464405693586161
"10","2L",56815,0.023721259597741,0.109651306497682,0.772683217320675,0.502809578592483
"11","2L",68876,0.944686538551731,0.555661112979176,0.331411780458385,0.187288613764363
"12","2L",78545,0.65357179523914,0.48097607153706,0.458570225359389,0.540872775099054
"13","2L",91143,0.53591736872684,0.488927229477015,0.450311318147681,0.689886295901796
"14","2L",95486,0.961002419231655,0.603411708044813,0.851780888779415,0.36721754362937
"15","2L",97355,0.666538566951972,0.299405121587184,0.425467554473676,0.206118786784301
"16","2L",116140,0.549442646245787,0.793796121549068,0.248066392180903,0.686544654576083
"17","2L",122159,0.87601023053254,0.438877636778099,0.427225532330388,0.218268084648001
"18","2L",123635,0.085404681916131,0.419210247415999,0.859358559921372,0.363068212816061
"19","2L",125962,4.30262321695389e-05,0.000785479873659582,0.582110111481237,0.541997460630293
"20","2L",128046,0.439618467410903,0.94881093492825,0.603421535897351,0.247614161407963
"21","2L",128876,0.585206149337926,0.861925566127118,0.875449504718226,0.0108966950732993
"22","2L",134680,0.549442646245787,0.793796121549068,0.248066392180903,0.686544654576083
"23","2L",149947,0.549442646245787,0.793796121549067,0.248066392180903,0.686544654576083
"24","2L",150732,0.84664223377943,0.429415856499138,0.636421873053221,0.0593420113250383
"25","2L",160583,0.918891376424304,0.838535252183174,0.19725997302063,0.594631640535366
"26","2L",163492,0.385272553023064,0.0801878243289003,0.67638599760196,0.000675280606571502
"27","2L",163611,0.558971164004832,0.693732487030027,0.54039560488208,0.142979319798239
"28","2L",164590,0.798275342103064,0.354817883876797,0.908440325561568,0.173268165293277
"29","2L",170028,0.426933201903321,0.520144582372347,0.600142264124709,0.518094087082573
"30","2L",177121,0.529647078863859,0.144145120704457,0.755774100358904,0.00196885416837575
"31","2L",181362,0.460708033090562,0.0761179016180694,0.745144368538936,0.00602787280390356
"32","2L",203721,0.00013095816693705,0.00122431548359542,0.586812572376793,0.547065468900652
"33","2L",211396,0.370004115007248,0.700178024872677,0.178134836848779,0.406161434075972
"34","2L",217904,0.549442646245787,0.793796121549068,0.248066392180903,0.686544654576083
"35","2L",221849,0.608156434462969,0.784875786418525,0.815823688811485,0.621740472435268
"36","2L",222114,0.0805556436028433,0.099720752141031,0.715240777844192,0.686544654576083
"37","2L",236623,0.26901490049035,0.547948674235194,0.663544331389542,0.783534634193403
"38","2L",238525,0.83061070574532,0.604999983159651,0.341848781361673,0.528204667544479
"39","2L",245365,0.599089219842484,0.995880248784168,0.610050102235388,0.511583802578536
"40","2L",247552,0.720655004563378,0.533148284185788,0.199803174090674,0.546251220292586
"41","2L",252762,0.549442646245787,0.793796121549068,0.248066392180903,0.686544654576083
"42","2L",255814,0.625203206337757,0.882926608489065,0.630123235894637,0.297908385896236
"43","2L",270417,0.803631607290684,0.949603403324282,0.309811764119458,0.530780503851949
"44","2L",270714,0.251898894530409,0.105612696733338,0.348260479725479,0.653600415276636
"45","2L",275765,0.971420119780313,0.82504375648606,0.195017572250481,0.925337601234009
"46","2L",276009,0.571108857618594,0.418697711571817,0.502460615504977,0.536056519721167
"47","2L",278514,0.355824222200516,0.47841405134944,0.743310609656753,0.599039118883881
"48","2L",285787,0.79785213288613,0.76138819461011,0.417075108162434,0.777867287852894
"49","2L",290790,0.883376782145663,0.312627673409531,0.444886588138019,0.166824504610893
"50","2L",300316,0.113994659341413,0.113438489025076,0.893875610124393,0.620793302368866
"51","2L",303433,0.349759185702756,0.741205852953315,0.324203590543688,0.448652982515339
"52","2L",312348,0.586789091424899,0.107986678308968,0.540762491441744,0.0325358602770929
"53","2L",313895,0.0805556436028436,0.099720752141031,0.715240777844192,0.686544654576083
"54","2L",314052,0.0805556436028433,0.0997207521410312,0.715240777844192,0.686544654576084
"55","2L",319731,0.960474169281647,0.633684412468042,0.892473779934901,0.414377238340561
"56","2L",319992,0.362833119170702,0.696141599296101,0.744887004652804,0.54435000726727
"57","2L",323132,0.171110729292024,0.0469766166404919,0.117753939552958,0.715530583071549
"58","2L",331692,0.549442646245787,0.793796121549067,0.248066392180903,0.686544654576083
"59","2L",334419,0.549442646245787,0.793796121549068,0.248066392180903,0.686544654576083
"60","2L",335025,0.314104501856626,0.667860352376804,0.684976956365748,0.504458921723307
"61","2L",344942,0.723721687413394,0.325997039097449,0.248066392180903,0.926324173810477
"62","2L",345812,0.806069328507859,0.88386094811476,0.0927819610376465,0.518620807833539
"63","2L",346923,0.88559699449235,0.676121822145827,0.719367686576029,0.245708789322232
"64","2L",366979,0.309295070383454,0.664979469059405,0.587228051881684,0.500433769186405
"65","2L",367265,0.739379034944451,0.484625091286841,0.775911079061573,0.43405489878008
