"","DATA.Chr","DATA.Pos","lat.pval","long.pval"
"1","2L",6716,0.485071978076326,0.0767801344753421
"2","2L",100206,0.00176808062523432,6.99008310782494e-18
"3","2L",181174,0.0136650855341524,0.0953801334775248
"4","2L",182829,0.000741271850218462,1.23724025268476e-08
"5","2L",220765,0.731806810695,0.0138933681871833
"6","2L",224707,0.768653801540409,0.0037700942789555
"7","2L",237731,0.321217075372328,0.808646808977321
"8","2L",246639,0.0019223333041184,0.0965327638796644
"9","2L",247721,0.547405891950365,0.0193882313263655
"10","2L",252459,0.767923517650067,0.673448966684108
"11","2L",259407,0.120619412539307,6.93804904440262e-05
"12","2L",259412,0.397559916270368,2.8808999918481e-09
"13","2L",259433,0.55768169944131,0.0118154572753323
"14","2L",269047,0.000296416667440729,2.67128295113035e-08
"15","2L",275737,0.186042586626445,0.0671448723534681
"16","2L",283789,0.785537406430159,0.0879622257805516
"17","2L",306420,0.0775681713982024,2.15511886110995e-06
"18","2L",308469,0.0740580286593883,2.47108997048906e-05
"19","2L",312502,0.796043726493097,0.431146434644303
"20","2L",312512,0.452748469798346,0.0889827793794029
"21","2L",312513,0.755526607099216,0.637320930860104
"22","2L",312523,0.666955525172842,0.359762730304865
"23","2L",315095,0.0379157868342539,0.016265773413067
"24","2L",315117,0.21763666859519,0.400199683856876
"25","2L",325202,0.698516961809887,0.373284993827962
"26","2L",329809,0.0172352447893614,0.642143725610781
"27","2L",329822,0.229854894749615,0.535087180696065
"28","2L",341517,0.00144978671677107,0.0195535615420227
"29","2L",346672,0.555262497926382,0.366684995270463
"30","2L",347159,0.371609567397116,0.213319137022656
"31","2L",357971,0.183030459307534,0.000347497759762011
"32","2L",372302,0.183578787055478,0.00220919408171807
"33","2L",373572,0.345698894275343,1.23508151364614e-11
"34","2L",374982,0.482001492438862,0.11653573573384
"35","2L",375404,0.00590382959995131,0.00101590644424745
"36","2L",379879,0.451805610663896,0.383949783078637
"37","2L",380287,0.18827819955548,0.0294760255907307
"38","2L",388061,0.636114143507035,0.0705587641658494
"39","2L",391328,0.738257201784269,0.358134408610624
"40","2L",391388,0.0611353015843953,0.0198620364064582
"41","2L",392178,0.129461206921445,0.121793482299675
"42","2L",392676,0.210153376403019,0.00956502776329512
"43","2L",392969,0.00687024188064642,0.927036353492454
"44","2L",399523,0.000233457092962302,1.28931232872016e-06
"45","2L",402136,0.148784797906984,0.0323283982118747
"46","2L",402435,3.57620041818911e-07,7.03782854681742e-20
"47","2L",408181,0.36681298702607,0.154494335596504
"48","2L",425737,0.277585332533125,2.39864293330708e-06
"49","2L",427198,2.20451053500456e-05,0.966827599503822
"50","2L",437383,0.0569157593727778,0.507304443250201
"51","2L",440701,0.0463753208147173,0.00459081601107681
"52","2L",441590,0.774474307152989,0.920902444433738
"53","2L",452369,0.642365060122313,0.370105781092175
"54","2L",474547,0.497921381792605,0.669502174983193
"55","2L",483339,0.356522219145471,5.88686435823428e-09
"56","2L",483363,0.964492971270205,2.48770745560616e-05
"57","2L",485004,0.0899071374001847,0.188297737047664
"58","2L",492215,0.305092786438223,0.212341185914221
"59","2L",493505,0.258966347930402,0.000904197836540827
"60","2L",501492,0.75379283113665,0.230511168772261
"61","2L",509132,0.42754798418384,0.20501022046266
"62","2L",511531,0.443667852912376,0.00451836533611531
"63","2L",512184,0.0852576249912534,0.103383449514555
"64","2L",517250,0.198779182965268,0.594680200282687
"65","2L",521762,0.934017744590913,0.000330623821347994
"66","2L",521790,0.0632631971355171,0.235607250249104
"67","2L",522179,0.840793634432467,0.393229309108653
"68","2L",525878,0.624951255094168,0.692452674815879
"69","2L",582750,0.728762502750656,0.993659432939773
"70","2L",582837,4.0229605842271e-05,5.141011855958e-06
"71","2L",587806,5.01760566969158e-05,0.360799211803758
"72","2L",589120,0.136409593358566,0.489858590458426
"73","2L",589524,0.967145825393721,0.757078717945905
"74","2L",589722,0.40431556787622,0.238136176590657
"75","2L",589726,0.457031927645018,0.563046399910666
"76","2L",595843,0.786257245845174,0.213314922346257
"77","2L",600741,0.746308925134232,0.253195825352342
"78","2L",600876,0.600938550731801,0.153162489844052
"79","2L",601505,0.260134071280843,1.00555389376743e-08
"80","2L",605125,0.035113707243593,0.00357362767559275
"81","2L",605582,0.120145640617008,0.0328050942506253
"82","2L",605583,0.0661912704907724,0.165503348897549
"83","2L",607271,0.140960043821131,0.0305572180220675
"84","2L",607285,0.330160781347021,0.0923128108681176
"85","2L",609108,0.0644280667283466,0.198699175937674
"86","2L",609207,0.102724258652722,0.366860605601268
"87","2L",609693,0.566100589907101,0.0715588262670418
"88","2L",613733,0.25385765338219,0.000148278493903828
"89","2L",615095,0.310256534563539,0.00266356576182858
"90","2L",618816,0.251671135854599,0.0939607629945938
"91","2L",621501,0.0791243260030242,0.0233112246013559
"92","2L",623076,0.0270496185344423,0.0583336249177924
"93","2L",630769,0.0543330841643706,2.25295285588433e-05
"94","2L",632026,0.843819554666061,0.0765605178033838
"95","2L",632923,0.765251014166111,1.56044610174682e-06
"96","2L",635181,0.00503991053138066,1.01386791194903e-15
"97","2L",636965,0.881134183200727,0.0182404350921568
"98","2L",637986,0.0082656376733677,0.000336040182674287
"99","2L",639878,0.0815489082319229,6.92273587249566e-20
"100","2L",646418,0.04734045298986,0.00822286021168919
"101","2L",647315,0.235694518489157,0.0545687610758251
"102","2L",650397,0.0953131629653091,0.00104670616907384
"103","2L",659396,0.751927664685963,0.175865133994746
"104","2L",660913,0.408861491907132,0.0650188527252443
"105","2L",664968,0.0627108027085863,0.00504746238764643
"106","2L",665590,0.427868624891383,0.316943931883619
"107","2L",665633,0.548478439428535,0.0265092513096448
"108","2L",665679,0.101343531817478,0.00483519456588895
"109","2L",666263,0.0155176500895653,0.0453517365069221
"110","2L",667284,0.0126071941872794,2.83824528538875e-05
"111","2L",667291,0.119514152250576,1.54881003094851e-05
"112","2L",667728,0.0413559197725072,0.00049908981185369
"113","2L",667762,0.00534576407664878,0.00521952985015067
"114","2L",670666,0.0228286628017471,0.0817340097765573
"115","2L",670712,0.619899068178863,0.458308584159113
"116","2L",678066,0.389771998153103,0.000512819977277993
"117","2L",679245,1.52209066451502e-08,8.83602765754498e-08
"118","2L",681106,0.230776718617589,0.389265147402603
"119","2L",683707,0.0884694690525254,0.0512930741118596
"120","2L",698487,0.323619956298585,0.981485920700092
"121","2L",699925,0.000697303976247417,0.00155278028868196
"122","2L",700787,0.0147826610433204,0.723706009106592
"123","2L",701864,0.209309594662512,0.589402831688944
"124","2L",703959,0.025029483299203,0.418594505278139
"125","2L",704089,0.000662690108184064,1.07329872562298e-05
"126","2L",704166,0.448092479893154,0.0200541825658376
"127","2L",705007,0.904448787560743,0.174719346521112
"128","2L",705782,0.410898030439025,0.421066255845773
"129","2L",705792,0.937197601404864,1.79791129501005e-05
"130","2L",709729,0.0174947788516069,0.0547427391962859
"131","2L",716166,0.00175343067224881,6.38425584810469e-05
