"","DATA.Chr","DATA.Pos","lat.pval","long.pval","nFlies.pval"
"1","2L",6716,0.485071978076326,0.0767801344753421,0.0125948228767367
"2","2L",100206,0.00176808062523432,6.99008310782494e-18,0.0685979748553881
"3","2L",181174,0.0136650855341524,0.0953801334775248,0.437836261792587
"4","2L",182829,0.000741271850218462,1.23724025268476e-08,0.849716932331129
"5","2L",220765,0.731806810695,0.0138933681871833,0.69717531523735
"6","2L",224707,0.768653801540409,0.0037700942789555,0.491780810901371
"7","2L",237731,0.321217075372328,0.808646808977321,0.00412724139752775
"8","2L",246639,0.0019223333041184,0.0965327638796644,0.323429742097588
"9","2L",247721,0.547405891950365,0.0193882313263655,0.459414859347515
"10","2L",252459,0.767923517650067,0.673448966684108,0.32869332275775
"11","2L",259407,0.120619412539307,6.93804904440262e-05,0.958824384514122
"12","2L",259412,0.397559916270368,2.8808999918481e-09,0.766682314142264
"13","2L",259433,0.55768169944131,0.0118154572753323,0.880510852135855
"14","2L",269047,0.000296416667440729,2.67128295113035e-08,0.436607554115952
"15","2L",275737,0.186042586626445,0.0671448723534681,0.652640544814058
"16","2L",283789,0.785537406430159,0.0879622257805516,0.177953472417438
"17","2L",306420,0.0775681713982024,2.15511886110995e-06,0.382220369519536
"18","2L",308469,0.0740580286593883,2.47108997048906e-05,0.371525724191243
"19","2L",312502,0.796043726493097,0.431146434644303,0.330405986737222
"20","2L",312512,0.452748469798346,0.0889827793794029,0.727231131812462
"21","2L",312513,0.755526607099216,0.637320930860104,0.0817439848509036
"22","2L",312523,0.666955525172842,0.359762730304865,0.102628575308886
"23","2L",315095,0.0379157868342539,0.016265773413067,0.735678954895975
"24","2L",315117,0.21763666859519,0.400199683856876,0.9925511687984
"25","2L",325202,0.698516961809887,0.373284993827962,0.952694343746055
"26","2L",329809,0.0172352447893614,0.642143725610781,0.485579429272535
"27","2L",329822,0.229854894749615,0.535087180696065,0.258197576500021
"28","2L",341517,0.00144978671677107,0.0195535615420227,0.7198645932547
"29","2L",346672,0.555262497926382,0.366684995270463,0.85099918970634
"30","2L",347159,0.371609567397116,0.213319137022656,0.877858708578305
"31","2L",357971,0.183030459307534,0.000347497759762011,0.778812439431111
"32","2L",372302,0.183578787055478,0.00220919408171807,0.24254876590414
"33","2L",373572,0.345698894275343,1.23508151364614e-11,0.658649263494437
"34","2L",374982,0.482001492438862,0.11653573573384,0.919589910594804
"35","2L",375404,0.00590382959995131,0.00101590644424745,0.178886051273417
"36","2L",379879,0.451805610663896,0.383949783078637,0.323389336313211
"37","2L",380287,0.18827819955548,0.0294760255907307,0.876277522356755
"38","2L",388061,0.636114143507035,0.0705587641658494,0.1716295787713
"39","2L",391328,0.738257201784269,0.358134408610624,0.973368883603968
"40","2L",391388,0.0611353015843953,0.0198620364064582,0.351868339912224
"41","2L",392178,0.129461206921445,0.121793482299675,0.969875360033799
"42","2L",392676,0.210153376403019,0.00956502776329512,0.852701254433543
"43","2L",392969,0.00687024188064642,0.927036353492454,0.697533363057162
"44","2L",399523,0.000233457092962302,1.28931232872016e-06,0.919084946376346
"45","2L",402136,0.148784797906984,0.0323283982118747,0.0500572316351761
"46","2L",402435,3.57620041818911e-07,7.03782854681742e-20,0.142341683555676
"47","2L",408181,0.36681298702607,0.154494335596504,0.842687879517276
"48","2L",425737,0.277585332533125,2.39864293330708e-06,0.884297588149941
"49","2L",427198,2.20451053500456e-05,0.966827599503822,0.797993894967385
"50","2L",437383,0.0569157593727778,0.507304443250201,0.909943632849098
"51","2L",440701,0.0463753208147173,0.00459081601107681,0.974742003446245
"52","2L",441590,0.774474307152989,0.920902444433738,0.935741768220779
"53","2L",452369,0.642365060122313,0.370105781092175,0.922810725009998
"54","2L",474547,0.497921381792605,0.669502174983193,0.29689202213396
"55","2L",483339,0.356522219145471,5.88686435823428e-09,0.92259412347729
"56","2L",483363,0.964492971270205,2.48770745560616e-05,0.897161058477707
"57","2L",485004,0.0899071374001847,0.188297737047664,0.00261137021325465
"58","2L",492215,0.305092786438223,0.212341185914221,0.882318032041221
"59","2L",493505,0.258966347930402,0.000904197836540827,0.417565814227194
"60","2L",501492,0.75379283113665,0.230511168772261,0.708062578941082
"61","2L",509132,0.42754798418384,0.20501022046266,0.432140759006893
"62","2L",511531,0.443667852912376,0.00451836533611531,0.663569906004131
"63","2L",512184,0.0852576249912534,0.103383449514555,0.209549748748397
"64","2L",517250,0.198779182965268,0.594680200282687,0.176048725974892
"65","2L",521762,0.934017744590913,0.000330623821347994,0.274568081652823
"66","2L",521790,0.0632631971355171,0.235607250249104,0.730742344672408
"67","2L",522179,0.840793634432467,0.393229309108653,0.195961007807291
"68","2L",525878,0.624951255094168,0.692452674815879,0.349158267055802
"69","2L",582750,0.728762502750656,0.993659432939773,0.202071788365181
"70","2L",582837,4.0229605842271e-05,5.141011855958e-06,0.665016032507639
"71","2L",587806,5.01760566969158e-05,0.360799211803758,0.321052435742815
"72","2L",589120,0.136409593358566,0.489858590458426,0.989255815737606
"73","2L",589524,0.967145825393721,0.757078717945905,0.771136657773143
"74","2L",589722,0.40431556787622,0.238136176590657,0.34745692746036
"75","2L",589726,0.457031927645018,0.563046399910666,0.824307955855364
"76","2L",595843,0.786257245845174,0.213314922346257,0.799749843615712
"77","2L",600741,0.746308925134232,0.253195825352342,0.841472559053701
"78","2L",600876,0.600938550731801,0.153162489844052,0.822988028450871
"79","2L",601505,0.260134071280843,1.00555389376743e-08,0.138897355864893
"80","2L",605125,0.035113707243593,0.00357362767559275,0.166952042380168
"81","2L",605582,0.120145640617008,0.0328050942506253,0.295567875658981
"82","2L",605583,0.0661912704907724,0.165503348897549,0.612515041139135
"83","2L",607271,0.140960043821131,0.0305572180220675,0.981980930902548
"84","2L",607285,0.330160781347021,0.0923128108681176,0.542473798668626
"85","2L",609108,0.0644280667283466,0.198699175937674,0.943496118351988
"86","2L",609207,0.102724258652722,0.366860605601268,4.74824601571391e-12
"87","2L",609693,0.566100589907101,0.0715588262670418,0.0034950454969352
"88","2L",613733,0.25385765338219,0.000148278493903828,0.345358525904865
"89","2L",615095,0.310256534563539,0.00266356576182858,0.0680918554569806
"90","2L",618816,0.251671135854599,0.0939607629945938,0.0114797913425939
"91","2L",621501,0.0791243260030242,0.0233112246013559,0.480731794150483
"92","2L",623076,0.0270496185344423,0.0583336249177924,0.321004198743616
"93","2L",630769,0.0543330841643706,2.25295285588433e-05,0.923780320792597
"94","2L",632026,0.843819554666061,0.0765605178033838,0.0398453075394269
"95","2L",632923,0.765251014166111,1.56044610174682e-06,0.774007378417657
"96","2L",635181,0.00503991053138066,1.01386791194903e-15,0.808192044956145
"97","2L",636965,0.881134183200727,0.0182404350921568,0.574687792046789
"98","2L",637986,0.0082656376733677,0.000336040182674287,0.848570889975162
"99","2L",639878,0.0815489082319229,6.92273587249566e-20,0.507390501906921
"100","2L",646418,0.04734045298986,0.00822286021168919,0.0203507159252714
"101","2L",647315,0.235694518489157,0.0545687610758251,0.0932720220823824
"102","2L",650397,0.0953131629653091,0.00104670616907384,0.209724537552895
"103","2L",659396,0.751927664685963,0.175865133994746,0.83070178603854
"104","2L",660913,0.408861491907132,0.0650188527252443,0.266949136409125
"105","2L",664968,0.0627108027085863,0.00504746238764643,0.32966171735311
"106","2L",665590,0.427868624891383,0.316943931883619,0.0073983175053403
