"","DATA.Chr","DATA.Pos","lat.pval","long.pval","near_surface_air_temperature.pval","bio1.pval"
"1","2L",258399,0.644758483643857,0.579246571322563,0.847687995206233,0.307722203108339
"2","2L",282998,0.615124073818328,0.549612161497034,0.877322405031762,0.27808779328281
"3","2L",293751,0.941871272683864,0.992616814994841,0.434317751533954,0.721092446780618
"4","2L",302509,0.281790740484994,0.2162788281637,0.789344261634905,0.0552455400505237
"5","2L",315338,0.570674861251962,0.636186773573256,0.0631213401020516,0.90771114178748
"6","2L",330803,0.741647516018748,0.676135603697454,0.750798962831342,0.40461123548323
"7","2L",358014,0.344953802110281,0.279441889788987,0.852507323260191,0.00791752157476298
"8","2L",402373,0.718209259515005,0.7837211718363,0.210655738365095,0.944754459949476
"9","2L",439086,0.989789937959807,0.944698149718898,0.482236416809897,0.673173781504675
"10","2L",444596,0.140340431725014,0.0748285194037191,0.647893952874924,0.196695848810504
"11","2L",449979,0.615124073818328,0.549612161497034,0.877322405031762,0.27808779328281
"12","2L",494066,0.877883046366217,0.812371134044922,0.614563432483873,0.540846765830699
"13","2L",498852,0.927918118131387,0.862406205810093,0.564528360718703,0.59088183759587
"14","2L",500496,0.0515425928483388,0.117054505169633,0.456010928301571,0.388578873383857
"15","2L",502413,0.0515425928483388,0.117054505169633,0.456010928301571,0.388578873383857
"16","2L",502587,0.0515425928483388,0.117054505169633,0.456010928301571,0.388578873383857
"17","2L",503720,0.771722038038224,0.706210125716929,0.720724440811866,0.434685757502706
"18","2L",509137,0.890128314639547,0.955640226960842,0.382574793489637,0.772835404824935
"19","2L",509894,0.615124073818328,0.549612161497034,0.877322405031762,0.27808779328281
"20","2L",519438,0.519358691412181,0.584870603733475,0.0118051702622707,0.856394971947699
"21","2L",537715,0.615124073818328,0.549612161497034,0.877322405031762,0.27808779328281
"22","2L",541141,0.514906992299356,0.58041890462065,0.00735347114944533,0.851943272834873
"23","2L",551947,0.978237228789358,0.912725316468064,0.514209250060732,0.64120094825384
"24","2L",628710,0.891635910660329,0.957147822981624,0.384082389510419,0.771327808804153
"25","2L",630825,0.549584036384278,0.484072124062983,0.942862442465812,0.21254775584876
"26","2L",641336,0.0515425928483388,0.117054505169633,0.456010928301571,0.388578873383857
"27","2L",650419,0.718209259515005,0.7837211718363,0.210655738365095,0.944754459949476
"28","2L",658460,0.720418985692458,0.785930898013752,0.212865464542547,0.942544733772024
"29","2L",665013,0.889166364725351,0.954678277046645,0.381612843575441,0.773797354739131
"30","2L",745924,0.0515425928483388,0.117054505169633,0.456010928301571,0.388578873383857
"31","2L",762897,0.616973376419618,0.682485288740913,0.109419855269708,0.954009656955137
"32","2L",829933,0.615124073818328,0.549612161497034,0.877322405031762,0.27808779328281
"33","2L",837497,0.736893008495977,0.802404920817271,0.229339487346066,0.926070710968505
"34","2L",843528,0.815391098548366,0.88090301086966,0.307837577398456,0.847572620916116
"35","2L",859415,0.930504874524662,0.996016786845957,0.422951353374752,0.73245884493982
"36","2L",859729,0.144000333370279,0.209512245691574,0.363553187779631,0.481036613905797
"37","2L",901335,0.0804985983744753,0.0149866860531808,0.588052119524386,0.256537682161043
"38","2L",933783,0.623410430202418,0.688922342523712,0.115856909052508,0.960446710737936
"39","2L",935225,0.793724031665316,0.85923594398661,0.286170510515406,0.869239687799166
